,岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
6826,IT工程师,南京格安信息系统有限责任公司,"[12.0, 19.0, 15.5]",长春-朝阳区,民营公司,1000-5000人,"['通信', '电信运营、增值服务']","['五险一金', '定期体检', '绩效奖金', '节日福利', '周末双休', '带薪年假']","""大专""",12.0,19.0,15.5
6827,核心网工程师,南京格安信息系统有限责任公司,"[16.0, 19.0, 17.5]",长春-朝阳区,民营公司,1000-5000人,"['通信', '电信运营、增值服务']","['五险一金', '定期体检', '绩效奖金', '节日福利', '周末双休', '带薪年假']","""大专""",16.0,19.0,17.5
6828,核心网SEQ工程师,南京格安信息系统有限责任公司,"[11.0, 18.0, 14.5]",长春-朝阳区,民营公司,1000-5000人,"['通信', '电信运营、增值服务']","['五险一金', '定期体检', '绩效奖金', '节日福利']","""大专""",11.0,18.0,14.5
6829,美团销售精英（DB长春）,美团,"[12.0, 18.0, 15.0]",长春,合资,10000人以上,"['互联网', '电子商务']","['五险一金', '交通补贴', '绩效奖金', '年终奖金', '定期体检', '带薪年假', '内部晋升', '节日福利']","""高中""",12.0,18.0,15.0
6830,销售经理,吉林省泽森新能源集团有限公司,"[10.0, 17.0, 13.5]",长春-南关区,民营公司,少于50人,"['电气', '电力', '水利']","['五险一金', '周末双休', '绩效奖金', '高提成', '餐费补助', '年终奖金']","""大专""",10.0,17.0,13.5
6831,区域销售经理,吉林省泽森新能源集团有限公司,"[10.0, 17.0, 13.5]",长春-南关区,民营公司,少于50人,"['电气', '电力', '水利']","['五险一金', '周末双休', '高提成', '绩效奖金', '餐饮补贴', '年终奖金']","""大专""",10.0,17.0,13.5
6832,区域销售助理,吉林省泽森新能源集团有限公司,"[5.0, 10.0, 7.5]",长春-南关区,民营公司,少于50人,"['电气', '电力', '水利']","['五险一金', '周末双休', '全勤奖', '绩效奖金', '餐饮补贴']","""大专""",5.0,10.0,7.5
6833,技术支持工程师,吉林省泽森新能源集团有限公司,"[10.0, 14.0, 12.0]",长春-南关区,民营公司,少于50人,"['电气', '电力', '水利']","['周未双休', '带薪年假', '项目奖金', '不加班', '五险一金', '餐饮补贴', '年终奖金', '绩效奖金']","""大专""",10.0,14.0,12.0
6834,风电现场维修工程师,吉林省泽森新能源集团有限公司,"[7.0, 14.0, 10.5]",长春-南关区,民营公司,少于50人,"['电气', '电力', '水利']","['五险一金', '周末双休', '全勤奖', '绩效奖金', '餐饮补贴', '年终奖金']","""大专""",7.0,14.0,10.5
6835,采购兼库管,沈阳鑫钰龙食品有限公司,"[5.0, 6.0, 5.5]",长春-宽城区,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],['五险'],"""初中及以下""",5.0,6.0,5.5
6836,库管,沈阳鑫钰龙食品有限公司,"[5.0, 6.0, 5.5]",长春-宽城区,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],['五险'],"""初中及以下""",5.0,6.0,5.5
6837,百度大客户销售代表,搜狗网络服务中心,"[10.0, 14.0, 12.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['年终奖金', '法定假日', '非法定假日', '团建活动', '专业培训', '出国旅游', '五险', '员工旅游', '出国机会', '高薪']","""大专""",10.0,14.0,12.0
6838,网页美工,搜狗网络服务中心,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['五险一金', '周末双休', '绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游']","""大专""",5.0,7.0,6.0
6839,家装顾问,长春城市人家装饰有限公司,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,50-150人,"['家居', '室内设计', '装潢']","['专业培训', '弹性工作', '绩效奖金', '年终奖金', '全勤奖', '带薪年假']","""高中""",5.0,7.0,6.0
6840,高薪招聘电话营销,长春城市人家装饰有限公司,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,50-150人,"['家居', '室内设计', '装潢']","['专业培训', '弹性工作', '绩效奖金', '年终奖金']","""中技""",5.0,7.0,6.0
6841,市场专员,长春城市人家装饰有限公司,"[7.0, 10.0, 8.5]",长春-二道区,民营公司,50-150人,"['家居', '室内设计', '装潢']","['专业培训', '弹性工作', '绩效奖金', '年终奖金']","""在校生\应届生""",7.0,10.0,8.5
6842,高薪招聘电话营销,长春城市人家装饰有限公司,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,50-150人,"['家居', '室内设计', '装潢']","['专业培训', '弹性工作', '绩效奖金', '年终奖金']","""中技""",5.0,7.0,6.0
6843,签约经理10,贝壳找房·长春站,"[7.0, 10.0, 8.5]",长春-二道区,民营公司,10000人以上,['房地产'],"['五险一金', '补充医疗保险', '年终奖金', '弹性工作', '绩效奖金', '带薪年假', '专业培训', '团建活动']","""本科""",7.0,10.0,8.5
6844,采购,江苏华凯比克希线束有限公司,"[5.0, 7.0, 6.0]",长春,合资,1000-5000人,['汽车'],"['五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金']","""大专""",5.0,7.0,6.0
6845,质量主管（工作地点：长春）,江苏华凯比克希线束有限公司,"[7.0, 10.0, 8.5]",长春,合资,1000-5000人,['汽车'],"['五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金']","""大专""",7.0,10.0,8.5
6846,行政专员,吉林省钜信科技有限公司,"[4.0, 5.0, 4.5]",长春-绿园区,民营公司,少于50人,"['医疗设备', '器械']","['五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '交通补贴', '绩效奖金', '年终奖金']","""大专""",4.0,5.0,4.5
6847,仓库管理员,吉林省钜信科技有限公司,"[4.0, 5.0, 4.5]",长春-绿园区,民营公司,少于50人,"['医疗设备', '器械']","['员工旅游', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '五险一金']","""高中""",4.0,5.0,4.5
6848,商务司机,吉林省钜信科技有限公司,"[4.0, 5.0, 4.5]",长春-绿园区,民营公司,少于50人,"['医疗设备', '器械']","['五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '交通补贴', '绩效奖金', '年终奖金']","""大专""",4.0,5.0,4.5
6849,搜狗销售代表（实习生）,搜狗网络服务中心,"[7.0, 14.0, 10.5]",长春-南关区,民营公司,50-150人,['计算机软件'],"['绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游', '五险']","""大专""",7.0,14.0,10.5
6850,贝壳直聘区域经理10,贝壳找房·长春站,"[7.0, 10.0, 8.5]",长春-二道区,民营公司,10000人以上,['房地产'],"['五险一金', '补充医疗保险', '年终奖金', '弹性工作', '绩效奖金', '带薪年假', '专业培训', '团建活动']","""本科""",7.0,10.0,8.5
6851,商务文员,吉林省钜信科技有限公司,"[4.0, 7.0, 5.5]",长春-绿园区,民营公司,少于50人,"['医疗设备', '器械']",[''],"""大专""",4.0,7.0,5.5
6852,搜狗实习生销售（高薪）,搜狗网络服务中心,"[6.0, 12.0, 9.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['五险一金', '周末双休', '绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游']","""大专""",6.0,12.0,9.0
6853,实习生销售（搜狗搜索）,搜狗网络服务中心,"[6.0, 12.0, 9.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['五险一金', '周末双休', '绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游']","""大专""",6.0,12.0,9.0
6854,销售代表\应届生\实习生   搜狗搜索,搜狗网络服务中心,"[6.0, 12.0, 9.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['五险一金', '周末双休', '绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游']","""大专""",6.0,12.0,9.0
6855,保洁,搜狗网络服务中心,"[2.0, 2.0, 2.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['员工活动', '做五休二', '节日福利', '带薪年假']","""1年经验""",2.0,2.0,2.0
6856,前台行政专员,搜狗网络服务中心,"[2.0, 4.0, 3.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['国内外旅游', '工龄五险', '带薪培训', '节日福利', '员工活动', '专业培训', '出国游', '团建']","""大专""",2.0,4.0,3.0
6857,互联网广告销售经理,搜狗网络服务中心,"[7.0, 14.0, 10.5]",长春-南关区,民营公司,50-150人,['计算机软件'],"['年终奖金', '法定假日', '非法定假日', '团建活动', '专业培训', '出国旅游', '五险', '员工旅游', '出国机会', '高薪']","""大专""",7.0,14.0,10.5
6858,广告营销经理,搜狗网络服务中心,"[6.0, 14.0, 10.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['年终奖金', '法定假日', '非法定假日', '团建活动', '专业培训', '出国旅游', '五险', '员工旅游', '出国机会', '高薪']","""大专""",6.0,14.0,10.0
6859,产品经理,搜狗网络服务中心,"[4.0, 5.0, 4.5]",长春-南关区,民营公司,50-150人,['计算机软件'],"['年终奖金', '法定假日', '非法定假日', '团建活动', '专业培训', '出国旅游', '五险', '员工旅游', '出国机会', '高薪']","""大专""",4.0,5.0,4.5
6860,百度地产事业部经理,搜狗网络服务中心,"[10.0, 18.0, 14.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['年终奖金', '法定假日', '非法定假日', '团建活动', '专业培训', '出国旅游', '五险', '员工旅游', '出国机会', '高薪']","""大专""",10.0,18.0,14.0
6861,百度信息流客户经理,搜狗网络服务中心,"[10.0, 12.0, 11.0]",长春-南关区,民营公司,50-150人,['计算机软件'],"['年终奖金', '法定假日', '非法定假日', '团建活动', '专业培训', '出国旅游', '五险', '员工旅游', '出国机会', '高薪']","""大专""",10.0,12.0,11.0
6862,信息流客户经理,搜狗网络服务中心,"[7.0, 18.0, 12.5]",长春-南关区,民营公司,50-150人,['计算机软件'],"['年终奖金', '法定假日', '非法定假日', '团建活动', '专业培训', '出国旅游', '五险', '员工旅游', '出国机会']","""大专""",7.0,18.0,12.5
6863,企划专员,搜狗网络服务中心,"[4.0, 5.0, 4.5]",长春-南关区,民营公司,50-150人,['计算机软件'],"['绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游', '五险']","""大专""",4.0,5.0,4.5
6864,百度客服,搜狗网络服务中心,"[4.0, 5.0, 4.5]",长春-南关区,民营公司,50-150人,['计算机软件'],"['周末双休', '绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游', '五险']","""大专""",4.0,5.0,4.5
6865,10置业销售,贝壳找房·长春站,"[10.0, 12.0, 11.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['五险一金', '补充医疗保险', '年终奖金', '弹性工作', '绩效奖金', '带薪年假', '专业培训', '团建活动']","""大专""",10.0,12.0,11.0
6866,10贝壳直聘区域经理\CA,贝壳找房·长春站,"[7.0, 10.0, 8.5]",长春-二道区,民营公司,10000人以上,['房地产'],"['五险一金', '补充医疗保险', '年终奖金', '弹性工作', '绩效奖金', '带薪年假', '专业培训', '团建活动']","""本科""",7.0,10.0,8.5
6867,10贝壳直聘区域经理\CA 六险二金,贝壳找房·长春站,"[7.0, 10.0, 8.5]",长春-二道区,民营公司,10000人以上,['房地产'],"['五险一金', '补充医疗保险', '年终奖金', '弹性工作', '绩效奖金', '带薪年假', '专业培训', '团建活动']","""本科""",7.0,10.0,8.5
6868,10房产营销管培生,贝壳找房·长春站,"[10.0, 12.0, 11.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['弹性工作', '住宿补助', '绩效奖金', '带薪年假', '透明晋升']","""大专""",10.0,12.0,11.0
6869,10贝壳直招房产销售代表\临近地铁\就近分配,贝壳找房·长春站,"[7.0, 10.0, 8.5]",长春,民营公司,10000人以上,['房地产'],"['专业培训', '住房补贴', '弹性工作', '端口免费', '包住宿', '绩效奖金']","""大专""",7.0,10.0,8.5
6870,英语老师,吉的堡教育集团,"[4.0, 7.0, 5.5]",长春-南关区,合资,1000-5000人,"['教育', '培训', '院校']","['做五休二', '带薪年假', '五险一金', '全勤奖', '节日福利', '专业培训', '年终奖金', '员工旅游', '绩效奖金', '定期体检']","""大专""",4.0,7.0,5.5
6871,英语教师-中新校,吉的堡教育集团,"[5.0, 10.0, 7.5]",长春-绿园区,合资,1000-5000人,"['教育', '培训', '院校']","['做五休二', '带薪年假', '五险一金', '全勤奖', '节日福利', '专业培训', '年终奖金', '员工旅游', '绩效奖金', '定期体检']","""大专""",5.0,10.0,7.5
6872,英语教师-虹馆校,吉的堡教育集团,"[5.0, 10.0, 7.5]",长春-南关区,合资,1000-5000人,"['教育', '培训', '院校']","['做五休二', '带薪年假', '五险一金', '全勤奖', '节日福利', '专业培训', '年终奖金', '员工旅游', '绩效奖金', '定期体检']","""大专""",5.0,10.0,7.5
6873,少儿英语老师,吉的堡教育集团,"[5.0, 10.0, 7.5]",长春-绿园区,合资,1000-5000人,"['教育', '培训', '院校']","['做五休二', '带薪年假', '五险一金', '全勤奖', '节日福利', '专业培训', '年终奖金', '员工旅游', '绩效奖金', '定期体检']","""大专""",5.0,10.0,7.5
6874,少儿英语老师,吉的堡教育集团,"[5.0, 10.0, 7.5]",长春-南关区,合资,1000-5000人,"['教育', '培训', '院校']","['做五休二', '带薪年假', '五险一金', '全勤奖', '节日福利', '专业培训', '年终奖金', '员工旅游', '绩效奖金', '定期体检']","""大专""",5.0,10.0,7.5
6875,采购专员,吉林迈克生物有限公司,"[4.0, 5.0, 4.5]",长春-高新技术产业开发区,上市公司,50-150人,"['医疗设备', '器械']","['带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '交通补贴', '餐饮补贴', '通讯补贴']","""大专""",4.0,5.0,4.5
6876,区域销售专员,吉林迈克生物有限公司,"[5.0, 10.0, 7.5]",长春-高新技术产业开发区,上市公司,50-150人,"['医疗设备', '器械']",[''],"""大专""",5.0,10.0,7.5
6877,销售主管,沈阳天爱日化有限公司,"[5.0, 24.0, 14.5]",异地招聘,外企代表处,少于50人,['快速消费品(食品、饮料、化妆品)'],"['五险', '交通补贴', '通讯补贴', '年终奖金', '员工旅游', '专业培训', '绩效奖金']","""本科""",5.0,24.0,14.5
6878,叉车司机,吉林省丰田叉车销售服务有限公司,"[4.0, 6.0, 5.0]",长春-汽车产业开发区,民营公司,50-150人,"['机械', '设备', '重工']","['五险一金', '节日福利', '免费班车', '加班补贴', '全勤奖']","""1年经验""",4.0,6.0,5.0
6879,电瓶装卸工,吉林省丰田叉车销售服务有限公司,"[4.0, 5.0, 4.5]",长春-高新技术产业开发区,民营公司,50-150人,"['机械', '设备', '重工']","['五险一金', '节日福利', '带薪年假']","""1年经验""",4.0,5.0,4.5
6880,客户总监,泰康养老保险股份有限公司吉林分公司,"[10.0, 15.0, 12.5]",长春-朝阳区,民营公司,10000人以上,"['金融', '投资', '证券']",[''],"""大专""",10.0,15.0,12.5
6881,团险客户经理,泰康养老保险股份有限公司吉林分公司,"[7.0, 10.0, 8.5]",长春-朝阳区,民营公司,10000人以上,"['金融', '投资', '证券']",[''],"""大专""",7.0,10.0,8.5
6882,电子商务——美工,吉林省顺福供应链管理有限公司,"[4.0, 7.0, 5.5]",长春-南关区,上市公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '带薪年假', '全勤奖', '节日福利']","""大专""",4.0,7.0,5.5
6883,网店店长助理,吉林省顺福供应链管理有限公司,"[4.0, 7.0, 5.5]",长春-南关区,上市公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '带薪年假', '全勤奖', '节日福利']","""大专""",4.0,7.0,5.5
6884,大客户销售代表,吉林省顺福供应链管理有限公司,"[7.0, 10.0, 8.5]",长春-南关区,上市公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '带薪年假', '全勤奖', '节日福利']","""大专""",7.0,10.0,8.5
6885,母婴行业—电子商务全职客服,吉林省顺福供应链管理有限公司,"[3.0, 6.0, 4.5]",长春-南关区,上市公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '带薪年假', '全勤奖', '节日福利']","""大专""",3.0,6.0,4.5
6886,储备销售经理,吉林省顺福供应链管理有限公司,"[5.0, 7.0, 6.0]",长春-南关区,上市公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '带薪年假', '全勤奖', '节日福利']","""中专""",5.0,7.0,6.0
6887,幼儿净水设备客户代表,吉林省顺福供应链管理有限公司,"[7.0, 10.0, 8.5]",长春-南关区,上市公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '带薪年假', '全勤奖', '节日福利']","""大专""",7.0,10.0,8.5
6888,财务经理,吉林省顺福供应链管理有限公司,"[5.0, 7.0, 6.0]",长春-南关区,上市公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['五险一金', '带薪年假', '全勤奖', '节日福利']","""大专""",5.0,7.0,6.0
6889,新媒体运营,吉的堡教育集团,"[6.0, 10.0, 8.0]",长春-南关区,合资,1000-5000人,"['教育', '培训', '院校']","['五险一金', '员工旅游', '绩效奖金', '专业培训', '节日福利', '子女就读优惠', '全勤奖', '定期体检', '做五休二', '免费班车']","""大专""",6.0,10.0,8.0
6890,微信公众号运营、大众点评推广,吉的堡教育集团,"[6.0, 8.0, 7.0]",长春-南关区,合资,1000-5000人,"['教育', '培训', '院校']","['五险一金', '员工旅游', '绩效奖金', '专业培训', '节日福利', '子女就读优惠', '全勤奖', '定期体检', '做五休二', '免费员工宿舍']","""大专""",6.0,8.0,7.0
6891,少儿英语老师(好景山庄二期),吉的堡教育集团,"[5.0, 10.0, 7.5]",长春-南关区,合资,1000-5000人,"['教育', '培训', '院校']","['五险一金', '免费班车', '员工旅游', '交通补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金', '弹性工作', '定期体检']","""大专""",5.0,10.0,7.5
6892,英语老师,吉的堡教育集团,"[5.0, 10.0, 7.5]",长春-绿园区,合资,1000-5000人,"['教育', '培训', '院校']","['做五休二', '带薪年假', '五险一金', '全勤奖', '节日福利', '专业培训', '年终奖金', '员工旅游', '绩效奖金', '定期体检']","""大专""",5.0,10.0,7.5
6893,销售代表-九台,百威投资（中国）有限公司,"[4.0, 5.0, 4.5]",长春,外资（欧美）,10000人以上,['快速消费品(食品、饮料、化妆品)'],[''],"""大专""",4.0,5.0,4.5
6894,08底薪3300地产精英,贝壳找房·长春站,"[5.0, 7.0, 6.0]",长春,民营公司,10000人以上,['房地产'],"['节日福利', '专业培训', '交通补贴', '弹性工作', '包住宿']","""大专""",5.0,7.0,6.0
6895,08底薪3500\端口免费\不要经验,贝壳找房·长春站,"[5.0, 7.0, 6.0]",长春,民营公司,10000人以上,['房地产'],"['节日福利', '专业培训', '交通补贴', '弹性工作', '包住宿']","""大专""",5.0,7.0,6.0
6896,08无需经验\新房底薪3500\六险二金,贝壳找房·长春站,"[5.0, 7.0, 6.0]",长春,民营公司,10000人以上,['房地产'],"['节日福利', '专业培训', '交通补贴', '弹性工作', '包住宿']","""大专""",5.0,7.0,6.0
6897,08渠道助理+五险一金,贝壳找房·长春站,"[5.0, 7.0, 6.0]",长春-二道区,民营公司,10000人以上,['房地产'],[''],"""大专""",5.0,7.0,6.0
6898,08房产销售\无责底薪\就近分配,贝壳找房·长春站,"[5.0, 7.0, 6.0]",长春,民营公司,10000人以上,['房地产'],"['节日福利', '专业培训', '交通补贴', '弹性工作', '包住宿']","""无需经验""",5.0,7.0,6.0
6899,08区域负责人\CA\六险二金,贝壳找房·长春站,"[10.0, 12.0, 11.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['节日福利', '专业培训', '交通补贴', '弹性工作', '包住宿']","""本科""",10.0,12.0,11.0
6900,08贝壳-签约经理,贝壳找房·长春站,"[10.0, 12.0, 11.0]",长春-二道区,民营公司,10000人以上,['房地产'],"['节日福利', '专业培训', '交通补贴', '弹性工作', '包住宿']","""本科""",10.0,12.0,11.0
6901,影视后期制作,北京世纪超星信息技术发展有限责任公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,1000-5000人,"['教育', '培训', '院校']","['专业培训', '带薪年假', '周末双休', '节日福利', '五险一金']","""大专""",5.0,7.0,6.0
6902,大客户经理,南京诺尔曼生物技术有限公司,"[15.0, 25.0, 20.0]",长春,民营公司,150-500人,"['制药', '生物工程']","['五险一金', '餐饮补贴', '通讯补贴', '绩效奖金', '专业培训', '交通补贴', '年终奖金']","""大专""",15.0,25.0,20.0
6903,区域经理（管理岗）,南京诺尔曼生物技术有限公司,"[20.0, 50.0, 35.0]",长春,民营公司,150-500人,"['制药', '生物工程']","['绩效奖金', '专业培训']","""大专""",20.0,50.0,35.0
6904,售前\售后技术支持工程师,南京诺尔曼生物技术有限公司,"[5.0, 7.0, 6.0]",长春,民营公司,150-500人,"['制药', '生物工程']","['五险一金', '免费班车', '餐饮补贴', '专业培训', '绩效奖金']","""大专""",5.0,7.0,6.0
6905,销售助理(培训行业）,辽宁诺盾科技有限公司吉林省分公司,"[4.0, 5.0, 4.5]",长春-南关区,民营公司,1000-5000人,"['医疗设备', '器械']","['五险一金', '员工旅游', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '周末双休', '节日福利', '做五休二']","""大专""",4.0,5.0,4.5
6906,话务联络文员（4千+）,辽宁诺盾科技有限公司吉林省分公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,1000-5000人,"['医疗设备', '器械']","['做五休二', '周末双休', '带薪年假', '专业培训', '节日福利', '绩效奖金', '加班补贴']","""大专""",5.0,7.0,6.0
6907,客服专员（双休+五险）,辽宁诺盾科技有限公司吉林省分公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,1000-5000人,"['医疗设备', '器械']","['做五休二', '周末双休', '带薪年假', '专业培训', '节日福利', '绩效奖金', '加班补贴']","""大专""",5.0,7.0,6.0
6908,电话销售（不需要销售产品）双休+五险,辽宁诺盾科技有限公司吉林省分公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,1000-5000人,"['医疗设备', '器械']","['五险一金', '周末双休', '加班补贴', '全勤奖', '绩效奖金', '节日福利', '专业培训']","""大专""",5.0,7.0,6.0
6909,办公室内勤（双休+五险）,辽宁诺盾科技有限公司吉林省分公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,1000-5000人,"['医疗设备', '器械']","['周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训']","""大专""",5.0,7.0,6.0
6910,培训讲师（双休+五险）,辽宁诺盾科技有限公司吉林省分公司,"[7.0, 10.0, 8.5]",长春-南关区,民营公司,1000-5000人,"['医疗设备', '器械']","['五险一金', '员工旅游', '交通补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '餐饮补贴', '周末双休']","""大专""",7.0,10.0,8.5
6911,讲师助理（双休+五险）,辽宁诺盾科技有限公司吉林省分公司,"[4.0, 5.0, 4.5]",长春-南关区,民营公司,1000-5000人,"['医疗设备', '器械']","['五险一金', '交通补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作']","""大专""",4.0,5.0,4.5
6912,医学事务代表\医疗器械销售,上海铠卡医疗器械贸易有限公司,"[7.0, 10.0, 8.5]",长春,民营公司,少于50人,"['医疗设备', '器械']","['五险一金', '交通补贴', '餐饮补贴', '专业培训', '通讯补贴', '年终奖金', '绩效奖金']","""本科""",7.0,10.0,8.5
6913,行政文员（长春红门）,红门智能科技股份有限公司,"[2.0, 3.0, 2.5]",长春-高新技术产业开发区,民营公司,500-1000人,"['机械', '设备', '重工']","['五险一金', '单休', '法定日休息']","""高中""",2.0,3.0,2.5
6914,安装维修工程师（长春红门）,红门智能科技股份有限公司,"[5.0, 7.0, 6.0]",长春-高新技术产业开发区,民营公司,500-1000人,"['机械', '设备', '重工']","['绩效奖金', '包住宿']","""中专""",5.0,7.0,6.0
6915,生物信息研发工程师（业余）,上海源兹生物科技有限公司,"[12.0, 18.0, 15.0]",长春,民营公司,150-500人,"['制药', '生物工程']","['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检', '弹性工作', '绩效奖金']","""硕士""",12.0,18.0,15.0
6916,医学编辑（长春业余）,上海源兹生物科技有限公司,"[7.0, 10.0, 8.5]",长春,民营公司,150-500人,"['制药', '生物工程']","['五险一金', '员工旅游', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']","""硕士""",7.0,10.0,8.5
6917,中央空调销售工程师,荏原冷热系统（中国）有限公司,"[5.0, 7.0, 6.0]",长春,外资（非欧美）,1000-5000人,"['机械', '设备', '重工']","['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']","""大专""",5.0,7.0,6.0
6918,区域销售经理（色选机）,上海太弘威视安防设备有限公司,"[7.0, 12.0, 9.5]",长春-朝阳区,民营公司,500-1000人,"['机械', '设备', '重工']","['五险一金', '节日福利', '员工旅游', '绩效奖金', '周末双休', '交通补贴', '年终奖金', '弹性工作']","""大专""",7.0,12.0,9.5
6919,体验师,云南白药集团股份有限公司,"[5.0, 7.0, 6.0]",长春,国企,5000-10000人,"['制药', '生物工程']","['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']","""大专""",5.0,7.0,6.0
6920,体验师,云南白药集团股份有限公司,"[5.0, 7.0, 6.0]",异地招聘,国企,5000-10000人,"['制药', '生物工程']","['五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检', '周末双休']","""本科""",5.0,7.0,6.0
6921,医疗器械KA（促销员）,云南白药集团股份有限公司,"[5.0, 7.0, 6.0]",异地招聘,国企,5000-10000人,"['制药', '生物工程']","['五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检', '周末双休']","""大专""",5.0,7.0,6.0
6922,销售经理,沈阳沣惠优品商贸有限公司,"[7.0, 10.0, 8.5]",长春-宽城区,民营公司,50-150人,"['贸易', '进出口']","['交通补贴', '通讯补贴', '绩效奖金']","""大专""",7.0,10.0,8.5
6923,区域销售经理,沈阳沣惠优品商贸有限公司,"[12.0, 18.0, 15.0]",长春-宽城区,民营公司,50-150人,"['贸易', '进出口']","['交通补贴', '通讯补贴', '绩效奖金']","""本科""",12.0,18.0,15.0
6924,大客户经理,沈阳沣惠优品商贸有限公司,"[7.0, 10.0, 8.5]",长春-宽城区,民营公司,50-150人,"['贸易', '进出口']","['五险一金', '交通补贴', '通讯补贴', '绩效奖金']","""大专""",7.0,10.0,8.5
6925,软件工程师（东北区域）,广州天维信息技术股份有限公司,"[5.0, 10.0, 7.5]",长春,上市公司,500-1000人,['计算机软件'],"['七险一金', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '股票期权', '定期体检', '晋升空间大']","""大专""",5.0,10.0,7.5
6926,大客户经理,沈阳沣惠优品商贸有限公司,"[5.0, 8.0, 6.5]",异地招聘,民营公司,50-150人,"['贸易', '进出口']","['五险一金', '绩效奖金', '做五休二', '包吃']","""大专""",5.0,8.0,6.5
6927,人力资源经理,沈阳沣惠优品商贸有限公司,"[7.0, 10.0, 8.5]",长春-宽城区,民营公司,50-150人,"['贸易', '进出口']","['五险一金', '绩效奖金']","""本科""",7.0,10.0,8.5
6928,人事行政主管,沈阳沣惠优品商贸有限公司,"[5.0, 7.0, 6.0]",长春-宽城区,民营公司,50-150人,"['贸易', '进出口']","['五险一金', '绩效奖金']","""本科""",5.0,7.0,6.0
6929,火车站贵宾室主管,沈阳沣惠优品商贸有限公司,"[7.0, 10.0, 8.5]",长春-宽城区,民营公司,50-150人,"['贸易', '进出口']","['五险一金', '做五休二', '包吃', '绩效奖金', '专业培训']","""大专""",7.0,10.0,8.5
