,岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
3446,急聘初高中物理教师+双休+高薪+五险一金(J15179),长春学大教育培训学校,"[5.0, 10.0, 7.5]",长春,民营公司,500-1000人,"['教育', '培训', '院校']","['弹性工作', '五险一金', '定期体检', '绩效奖金', '专业培训', '带薪年假', '节假日福利', '提供住宿']","""本科""",5.0,10.0,7.5
3447,急聘初高中化学教师+五险一金+双休+高薪(J15182),长春学大教育培训学校,"[5.0, 10.0, 7.5]",长春,民营公司,500-1000人,"['教育', '培训', '院校']","['弹性工作', '五险一金', '定期体检', '绩效奖金', '专业培训', '带薪年假', '节假日福利', '提供住宿']","""本科""",5.0,10.0,7.5
3448,急聘初高中生物教师+双休+高薪+五险一金(J15199),长春学大教育培训学校,"[5.0, 10.0, 7.5]",长春,民营公司,500-1000人,"['教育', '培训', '院校']","['弹性工作', '五险一金', '定期体检', '绩效奖金', '专业培训', '带薪年假', '节假日福利', '提供住宿']","""本科""",5.0,10.0,7.5
3449,急聘初高中地理教师+五险一金+高薪+双休(J15200),长春学大教育培训学校,"[5.0, 10.0, 7.5]",长春,民营公司,500-1000人,"['教育', '培训', '院校']","['弹性工作', '五险一金', '定期体检', '绩效奖金', '专业培训', '带薪年假', '节假日福利', '提供住宿']","""本科""",5.0,10.0,7.5
3450,综合文员,长春市恒建通达能源有限公司,"[5.0, 7.0, 6.0]",长春-南关区,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""本科""",5.0,7.0,6.0
3451,热能工程师,长春市恒建通达能源有限公司,"[7.0, 10.0, 8.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""大专""",7.0,10.0,8.5
3452,工艺工程师,长春长光圆辰微电子技术有限公司,"[7.0, 10.0, 8.5]",长春-经济技术开发区,国企,50-150人,"['电子技术', '半导体', '集成电路']","['五险一金', '餐饮补贴', '定期体检', '节日福利', '生日福利', '带薪假期', '绩效奖金', '年终奖金', '周末双休', '采暖补贴']","""硕士""",7.0,10.0,8.5
3453,财务部经理,长春市恒建通达能源有限公司,"[7.0, 12.0, 9.5]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '免费食宿']","""大专""",7.0,12.0,9.5
3454,人事行政经理,长春市恒建通达能源有限公司,"[6.0, 10.0, 8.0]",长春-南关区,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""大专""",6.0,10.0,8.0
3455,暖通工程师,长春市恒建通达能源有限公司,"[5.0, 7.0, 6.0]",长春-宽城区,民营公司,150-500人,['新能源'],"['五险一金', '周末双休']","""大专""",5.0,7.0,6.0
3456,客服录入员双休,泰康人寿吉林电话营销中心,"[7.0, 10.0, 8.5]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",7.0,10.0,8.5
3457,咨询热线\呼叫中心+双休,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '做一休一', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",5.0,7.0,6.0
3458,行政文员+双休,泰康人寿吉林电话营销中心,"[4.0, 5.0, 4.5]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴', '住房补贴']","""大专""",4.0,5.0,4.5
3459,储备干部双休可实习,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴', '住房补贴']","""大专""",5.0,7.0,6.0
3460,双休+保险坐班+法定假日休息,泰康人寿吉林电话营销中心,"[5.0, 7.0, 6.0]",长春-绿园区,上市公司,10000人以上,['保险'],"['做五休二', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '高温补贴']","""大专""",5.0,7.0,6.0
