岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
行政主管（朝九晚五 双休法休）,哈尔滨市博能环保科技有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金']","""本科""",4.0,5.0,4.5
运营工程师,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金']","""本科""",7.0,10.0,8.5
采购助理\文员,哈尔滨市博能环保科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",5.0,7.0,6.0
项目运营经理,哈尔滨市博能环保科技有限公司,"[12.0, 14.0, 13.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",12.0,14.0,13.0
安装工程师,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",7.0,10.0,8.5
检验试验工程师,哈尔滨市博能环保科技有限公司,"[6.0, 8.0, 7.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",6.0,8.0,7.0
人力资源总监（双休，朝九晚五）,哈尔滨市博能环保科技有限公司,"[12.0, 18.0, 15.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",12.0,18.0,15.0
化妆品研发工程师,哈尔滨市博能环保科技有限公司,"[10.0, 14.0, 12.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",10.0,14.0,12.0
药品研发工程师,哈尔滨市博能环保科技有限公司,"[10.0, 14.0, 12.0]",哈尔滨,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""硕士""",10.0,14.0,12.0
食品保健食品研发工程师,哈尔滨市博能环保科技有限公司,"[10.0, 14.0, 12.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",10.0,14.0,12.0
研发工程师（接收应届毕业生）,哈尔滨市博能环保科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",5.0,7.0,6.0
采购专员,哈尔滨市博能环保科技有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",4.0,5.0,4.5
土建预算员,哈尔滨市博能环保科技有限公司,"[10.0, 12.0, 11.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",10.0,12.0,11.0
土建工程师,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",7.0,10.0,8.5
汉博总经理,哈尔滨市博能环保科技有限公司,"[10.0, 18.0, 14.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",10.0,18.0,14.0
设备工程师,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",7.0,10.0,8.5
研发部经理,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""博士""",7.0,10.0,8.5
生产厂长,哈尔滨市博能环保科技有限公司,"[10.0, 12.0, 11.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",10.0,12.0,11.0
研发工程师,哈尔滨市博能环保科技有限公司,"[10.0, 12.0, 11.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""博士""",10.0,12.0,11.0
技术化验员,哈尔滨市博能环保科技有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",5.0,7.0,6.0
天然气生产运维管理人员（可接受应届毕业生）,哈尔滨市博能环保科技有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""本科""",5.0,7.0,6.0
车间主任,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",7.0,10.0,8.5
有机肥销售经理,哈尔滨市博能环保科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-松北区,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",5.0,7.0,6.0
天然气销售经理,哈尔滨市博能环保科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,50-150人,['环保'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']","""大专""",7.0,10.0,8.5
