岗位,公司,薪资,位置,公司性质,规模,工作领域,福利,学历,最低薪资,最高薪资,平均薪资
仓库管理员,拼多多,"[5.0, 7.0, 6.0]",哈尔滨-平房区,民营公司,500-1000人,['计算机软件'],"['上市公司', '发展空间大', '缴纳五险', '包吃', '包住宿']","""1年经验""",5.0,7.0,6.0
英语教研员,哈尔滨市爱尔英语培训学校,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,民营公司,50-150人,"['教育', '培训', '院校']","['员工旅游', '餐饮补贴', '绩效奖金', '带薪休假', '满勤奖']","""本科""",5.0,7.0,6.0
一手房销售-LSY,哈尔滨贝壳房地产经纪有限公司,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,10000人以上,['房地产'],[''],"""本科""",7.0,10.0,8.5
销售,哈尔滨市阳光惠远知识产权代理有限公司,"[4.0, 6.0, 5.0]",哈尔滨,民营公司,少于50人,['检测，认证'],"['五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '弹性工作', '专业培训']","""大专""",4.0,6.0,5.0
销售工程师,北京同心行科贸有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,少于50人,"['医疗设备', '器械']","['交通补贴', '年终奖金', '绩效奖金', '专业培训', '餐饮补贴', '通讯补贴']","""大专""",5.0,7.0,6.0
新房渠道销售,哈尔滨松玉房地产开发有限公司,"[4.0, 5.0, 4.5]",哈尔滨-香坊区,民营公司,50-150人,['房地产'],"['周末双休', '带薪年假', '五险一金', '节日福利', '餐饮补贴', '通讯补贴', '免费班车']","""大专""",4.0,5.0,4.5
五百强企业诚聘业务主管,中意人寿保险有限公司黑龙江省分公司哈尔滨中心支公司,"[12.0, 12.0, 12.0]",哈尔滨-香坊区,合资,10000人以上,['保险'],[''],"""高中""",12.0,12.0,12.0
房产经纪人,黑龙江省骄阳房地产经纪有限公司第十三分部,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,1000-5000人,['房地产'],"['员工旅游', '专业培训', '绩效奖金']","""无需经验""",7.0,10.0,8.5
财务主管,哈尔滨上洋包装制品有限公司,"[6.0, 10.0, 8.0]",哈尔滨-南岗区,民营公司,150-500人,"['印刷', '包装', '造纸']","['免费班车', '绩效奖金', '意外险', '免费午餐', '免费寝室']","""大专""",6.0,10.0,8.0
幼儿培训老师（美术）,武汉亿童文教股份有限公司,"[7.0, 10.0, 8.5]",哈尔滨,上市公司,1000-5000人,"['教育', '培训', '院校']","['带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '定期体检', '员工旅游', '餐饮补贴', '年终奖金']","""本科""",7.0,10.0,8.5
初中英语教师,哈尔滨市道外区优得文化艺术学校,"[4.0, 5.0, 4.5]",哈尔滨-道外区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""本科""",4.0,5.0,4.5
收银员,黑龙江华宇汽车销售有限公司,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,50-150人,['汽车'],[''],"""大专""",2.0,4.0,3.0
招聘黑龙江地区美容售后导师,合肥正佳智能科技有限公司,"[5.0, 10.0, 7.5]",哈尔滨-香坊区,民营公司,500-1000人,['专业服务(咨询、人力资源、财会)'],[''],"""无需经验""",5.0,10.0,7.5
平面设计,哈尔滨北秀医药连锁有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,"['医疗', '护理', '卫生']","['五险一金', '员工旅游', '定期体检', '加班补助', '提供午餐']","""大专""",5.0,7.0,6.0
营销一部负责人,世纪证券有限责任公司,"[30.0, 36.0, 33.0]",哈尔滨-道里区,国企,1000-5000人,"['金融', '投资', '证券']","['五险一金', '通讯补贴', '餐饮补贴', '定期体检', '交通补贴', '绩效奖金']","""本科""",30.0,36.0,33.0
销售文员,哈尔滨九鼎通讯设备有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,少于50人,"['通信', '电信运营、增值服务']",[''],"""大专""",5.0,7.0,6.0
业务拓展主管,德诚珠宝集团有限公司,"[6.0, 10.0, 8.0]",异地招聘,民营公司,5000-10000人,"['奢侈品', '收藏品', '工艺品', '珠宝']","['年终奖金', '购金优惠', '员工活动', '专业培训', '五险一金']","""大专""",6.0,10.0,8.0
办公室文员,哈尔滨市南岗区工大华信职业培训学校,"[2.0, 4.0, 3.0]",哈尔滨-南岗区,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",2.0,4.0,3.0
预算员,哈尔滨旭华科技发展有限公司,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,民营公司,50-150人,"['通信', '电信', '网络设备']","['带薪年假', '专业培训', '节日福利', '住房补贴', '交通补贴', '通讯补贴', '弹性工作', '全勤奖']","""中专""",5.0,7.0,6.0
课程顾问,北京正保远见教育科技有限公司黑龙江分公司,"[10.0, 12.0, 11.0]",哈尔滨-南岗区,民营公司,,"['教育', '培训', '院校']","['五险一金', '员工旅游', '绩效奖金', '年终奖金', '双休、法休', '女神节']","""大专""",10.0,12.0,11.0
线上运营（工作地江北利民开发区）,黑龙江道台府食品有限公司,"[5.0, 7.0, 6.0]",哈尔滨-呼兰区,民营公司,150-500人,['快速消费品(食品、饮料、化妆品)'],"['绩效奖金', '节日福利', '员工旅游', '包吃包住']","""大专""",5.0,7.0,6.0
会计真账实训,哈尔滨市企兴财务管理咨询有限公司,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,50-150人,"['会计', '审计']","['专业培训', '绩效奖金', '周末双休']","""大专""",4.0,5.0,4.5
摄像师,哈尔滨市帕尔文化传媒有限公司,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,民营公司,50-150人,"['影视', '媒体', '艺术', '文化传播']","['五险一金', '员工旅游', '专业培训', '弹性工作', '绩效奖金', '年终奖金', '交通补贴', '餐饮补贴', '通讯补贴', '定期体检']","""1年经验""",5.0,7.0,6.0
电气设计师,哈尔滨亚美国际娱乐投资有限公司,"[10.0, 12.0, 11.0]",哈尔滨-道里区,民营公司,500-1000人,['房地产'],"['五险', '全勤奖', '节日福利', '交通补贴', '餐饮补贴', '带薪年假', '弹性工作']","""本科""",10.0,12.0,11.0
CAD绘图员,哈尔滨众杰包装材料有限公司,"[4.0, 5.0, 4.5]",哈尔滨-道里区,民营公司,少于50人,"['印刷', '包装', '造纸']",[''],"""高中""",4.0,5.0,4.5
前台接待\总机\接待生,哈尔滨市道里区爱维英语文化学校,"[2.0, 4.0, 3.0]",哈尔滨-道里区,民营公司,少于50人,"['教育', '培训', '院校']","['五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '餐饮补贴', '专业培训']","""大专""",2.0,4.0,3.0
抖音电话客服,哈尔滨银楷科技发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,150-500人,"['通信', '电信', '网络设备']","['公司供餐', '五险一金', '全勤奖', '节日福利', '交通补贴']","""高中""",4.0,5.0,4.5
区域经理,哈尔滨沃禾美农药有限公司,"[10.0, 15.0, 12.5]",哈尔滨-香坊区,民营公司,少于50人,"['石油', '化工', '矿产', '地质']",[''],"""高中""",10.0,15.0,12.5
少儿英语老师,哈尔滨市志远英语学校,"[7.0, 14.0, 10.5]",哈尔滨-南岗区,民营公司,150-500人,"['教育', '培训', '院校']","['交通补贴', '员工旅游', '专业培训', '餐饮补贴', '绩效奖金', '年终奖金', '五险一金']","""本科""",7.0,14.0,10.5
市场经理,黑龙江省惠泰工程管理咨询有限公司,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,少于50人,"['建筑', '建材', '工程']",[''],"""大专""",4.0,5.0,4.5
化学生物助教老师,哈尔滨茗望教育信息咨询有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,150-500人,"['教育', '培训', '院校']","['五险一金', '绩效奖金', '通讯补贴', '带薪年假', '节日福利', '专业培训', '工龄工资', '激励奖金', '员工旅游']","""本科""",5.0,7.0,6.0
销售工程师,哈尔滨现代吹灰技术有限公司,"[7.0, 12.0, 9.5]",哈尔滨-香坊区,民营公司,50-150人,"['机械', '设备', '重工']",[''],"""中专""",7.0,12.0,9.5
业务员,哈尔滨市普利德焊接器材有限公司,"[2.0, 6.0, 4.0]",哈尔滨,民营公司,少于50人,"['批发', '零售']","['周末双休', '弹性工作', '交通补贴', '专业培训', '节日福利', '加班补贴', '通讯补贴', '高温补贴', '五险一金']","""大专""",2.0,6.0,4.0
前台,哈尔滨市南岗区乐学谷文化培训学校,"[3.0, 4.0, 3.5]",哈尔滨,民营公司,少于50人,"['教育', '培训', '院校']",[''],"""大专""",3.0,4.0,3.5
C++软件开发,哈尔滨精达测量仪器有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,50-150人,"['机械', '设备', '重工']","['五险一金', '免费班车', '餐饮补贴', '专业培训', '绩效奖金']","""本科""",7.0,10.0,8.5
空间效果图绘图员,黑龙江传创品牌战略创意产业有限公司,"[4.0, 6.0, 5.0]",哈尔滨-道里区,民营公司,少于50人,['广告'],['餐饮补贴'],"""大专""",4.0,6.0,5.0
日语翻译,哈尔滨三荣科技开发有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,合资,50-150人,"['建筑', '建材', '工程']","['五险一金', '员工旅游', '专业培训', '年终奖金', '带薪年假', '节日福利', '交通补贴', '餐饮补贴']","""本科""",4.0,5.0,4.5
主材下单文员,黑龙江唯尔建筑装饰工程有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,50-150人,"['建筑', '建材', '工程']",[''],"""大专""",4.0,5.0,4.5
科研员（哈尔滨）,启迪（柳州）数字教育有限公司,"[12.0, 18.0, 15.0]",哈尔滨,民营公司,,"['教育', '培训', '院校']",[''],"""博士""",12.0,18.0,15.0
大客户营销工程师（哈尔滨）,上能电气股份有限公司,"[10.0, 12.0, 11.0]",哈尔滨,民营公司,,"['电气', '电力', '水利']",[''],"""本科""",10.0,12.0,11.0
ME（工作地点：厦门）,通达（厦门）科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨,上市公司,,"['机械', '设备', '重工']",[''],"""大专""",7.0,10.0,8.5
研发工程师（硕士应届生）,苏州安特威阀门有限公司,"[12.0, 18.0, 15.0]",哈尔滨,民营公司,,"['机械', '设备', '重工']",[''],"""硕士""",12.0,18.0,15.0
研发类岗位,昆山联滔电子有限公司,"[7.0, 10.0, 8.5]",哈尔滨,上市公司,,"['电子技术', '半导体', '集成电路']",[''],"""本科""",7.0,10.0,8.5
营销管培生（伊春）,杭州远大生物制药有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,"['制药', '生物工程']",[''],"""本科""",7.0,10.0,8.5
远大购物中心2021届管培生（职能管理类）,黑龙江远大购物中心有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,"['批发', '零售']",[''],"""本科""",5.0,7.0,6.0
企业管培生（哈尔滨）,辽宁远大诺康生物制药有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,"['制药', '生物工程']",[''],"""本科""",5.0,7.0,6.0
品牌推广专员（哈尔滨）,北京北元电器有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""本科""",5.0,7.0,6.0
储备干部（全国轮岗+浙江培训）,清大东方教育科技集团有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""本科""",5.0,7.0,6.0
电话销售（哈尔滨）,北京奇志浩天科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],[''],7.0,10.0,8.5
机械设计工程师（哈尔滨）,北京长峰金鼎科技有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""本科""",7.0,10.0,8.5
销售顾问（哈尔滨）,北京云杉世界信息技术有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""大专""",5.0,7.0,6.0
（商业地产）房地产销售经理（哈尔滨）,北京同程致富投资管理有限公司,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""在校生\应届生""",4.0,5.0,4.5
建筑工程项目助理（哈尔滨）,天润当代建筑装饰工程（北京）有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""大专""",5.0,7.0,6.0
营销管培生（哈尔滨）,金红叶纸业集团有限公司,"[7.0, 10.0, 8.5]",哈尔滨,外资（非欧美）,,['快速消费品(食品、饮料、化妆品)'],[''],"""大专""",7.0,10.0,8.5
项目管理员（哈尔滨）,广东莱佛士制药技术有限公司,"[10.0, 12.0, 11.0]",哈尔滨,民营公司,,"['制药', '生物工程']",[''],"""硕士""",10.0,12.0,11.0
暖通工程师（哈尔滨）,中国电子系统工程第二建设有限公司,"[7.0, 10.0, 8.5]",哈尔滨,国企,,"['电子技术', '半导体', '集成电路']",[''],"""本科""",7.0,10.0,8.5
营销管培生,青蛙王子（福建）婴童护理用品有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,['快速消费品(食品、饮料、化妆品)'],[''],"""大专""",7.0,10.0,8.5
IT专员,雨润农产品集团,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""本科""",5.0,7.0,6.0
区域总经理助理（哈尔滨）,北京千喜鹤餐饮管理有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,['餐饮业'],[''],"""本科""",7.0,10.0,8.5
CRH高铁乘务招募中,河南普斯旅服人力资源有限公司,"[5.0, 7.0, 6.0]",异地招聘,民营公司,50-150人,['专业服务(咨询、人力资源、财会)'],[''],"""中技""",5.0,7.0,6.0
员工,大润发超市,"[2.0, 4.0, 3.0]",哈尔滨-松北区,外资（非欧美）,10000人以上,"['批发', '零售']","['带薪年假', '五险一金', '专业培训', '绩效奖金', '餐饮补贴']","""无需经验""",2.0,4.0,3.0
销售代表,黑龙江申悦贸易有限公司,"[4.0, 10.0, 7.0]",哈尔滨-道外区,民营公司,少于50人,"['贸易', '进出口']","['五险一金', '交通补贴', '通讯补贴']","""大专""",4.0,10.0,7.0
汽车服务工程专业教师,皖江工学院,"[8.0, 10.0, 9.0]",异地招聘,事业单位,500-1000人,"['教育', '培训', '院校']","['五险一金', '补充医疗保险', '免费班车', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '年终奖金', '定期体检']","""硕士""",8.0,10.0,9.0
课程咨询顾问（长江路校区）,爱贝国际少儿英语哈尔滨开发区中心,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,50-150人,"['教育', '培训', '院校']","['五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '通讯补贴', '交通补贴']",[''],5.0,7.0,6.0
内勤库管,哈尔滨池康科技发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨-道外区,民营公司,少于50人,"['医疗设备', '器械']",[''],"""大专""",4.0,5.0,4.5
销售专员,黑龙江鑫隆国际贸易有限公司,"[4.0, 7.0, 5.5]",哈尔滨-南岗区,民营公司,500-1000人,"['贸易', '进出口']","['周末双休', '交通补贴', '通讯补贴', '法休', '食堂']","""本科""",4.0,7.0,5.5
人事助理 3000+,中国平安人寿保险股份有限公司南岗华山支公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,上市公司,10000人以上,['保险'],"['做五休二', '周末双休', '弹性工作', '带薪年假', '五险一金', '绩效奖金', '专业培训', '免费旅游']","""高中""",4.0,5.0,4.5
急聘哈尔滨机场安检\监护\VIP接待五险吃住,河北昌圆铁路电气化技术有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,合资,50-150人,"['交通', '运输', '物流']",[''],"""高中""",5.0,7.0,6.0
采购内勤,哈尔滨市道外区爱嘉水暖洁具总汇,"[4.0, 6.0, 5.0]",哈尔滨-道外区,民营公司,50-150人,"['批发', '零售']","['交通补贴', '年终奖金', '绩效奖金', '员工旅游', '专业培训']","""大专""",4.0,6.0,5.0
引流部经理,哈尔滨光辉照明工程有限公司,"[5.0, 7.0, 6.0]",哈尔滨-道外区,民营公司,少于50人,"['家居', '室内设计', '装潢']","['五险一金', '绩效奖金', '专业培训', '节日福利']","""本科""",5.0,7.0,6.0
电商运营专员,黑龙江百家得冷冻食品有限公司,"[4.0, 5.0, 4.5]",哈尔滨-通河县,民营公司,500-1000人,['快速消费品(食品、饮料、化妆品)'],"['五险', '免费住宿']","""大专""",4.0,5.0,4.5
采购员,哈尔滨市道外区兴程自行车配件商店,"[4.0, 5.0, 4.5]",哈尔滨,民营公司,少于50人,['汽车'],"['节日福利', '全勤奖', '加班补贴', '包午餐', '周日休息', '带薪年假']","""初中及以下""",4.0,5.0,4.5
销售代表（农资）,哈尔滨欧联美达生物科技有限公司,"[7.0, 12.0, 9.5]",哈尔滨-道外区,民营公司,50-150人,"['农', '林', '牧', '渔']","['做五休二', '周末双休', '带薪年假', '五险一金', '交通补贴', '包住宿', '通讯补贴', '节日福利', '绩效奖金']","""大专""",7.0,12.0,9.5
导购,哈尔滨市南岗区天鸿装饰材料商行,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,少于50人,"['建筑', '建材', '工程']",[''],"""初中及以下""",4.0,5.0,4.5
大区经理（黑龙江区域）,广州人福医疗设备有限公司,"[6.0, 18.0, 12.0]",哈尔滨,民营公司,50-150人,"['医疗设备', '器械']","['补充医疗保险', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '六险一金', '交通补贴', '通讯补贴', '节日福利']","""本科""",6.0,18.0,12.0
区域销售经理（鹤岗）,浙江大华技术股份有限公司,"[10.0, 15.0, 12.5]",哈尔滨-南岗区,民营公司,5000-10000人,['计算机软件'],"['五险一金', '补充医疗保险', '补充公积金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '定期体检']","""本科""",10.0,15.0,12.5
快消品销售主管,哈尔滨旭升纸业有限公司,"[7.0, 10.0, 8.5]",哈尔滨-道外区,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],"['带薪年假', '节日福利', '绩效奖金']","""大专""",7.0,10.0,8.5
行政办理专员,黑龙江自贸区哈尔滨片区展鑫金融产业园有限公司,"[4.0, 5.0, 4.5]",哈尔滨-松北区,民营公司,少于50人,['租赁服务'],"['五险', '绩效奖金', '餐饮补贴', '带薪年假', '法定假日休息']","""大专""",4.0,5.0,4.5
医美事业部东北大区总监,天晴干细胞股份有限公司,"[18.0, 24.0, 21.0]",哈尔滨,民营公司,150-500人,"['制药', '生物工程']","['五险一金', '免费班车', '供吃供住', '定期体检', '员工旅游']","""大专""",18.0,24.0,21.0
成本核算经理,哈尔滨众德伟业展览展示有限公司,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,民营公司,少于50人,"['家居', '室内设计', '装潢']",[''],"""本科""",5.0,7.0,6.0
渠道销售经理（产康线）,深圳半岛医疗有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,150-500人,"['医疗设备', '器械']","['五险一金', '周末双休', '年终奖金', '员工旅游', '交通补贴', '绩效奖金']","""大专""",7.0,10.0,8.5
营销、市场专员,哈尔滨明西园公墓有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨-宾县,上市公司,50-150人,['生活服务'],"['五险一金', '绩效奖金', '年终奖金', '交通补贴', '通讯补贴', '定期体检', '专业培训', '免费班车', '员工旅游']","""大专""",5.0,7.0,6.0
语文老师\线上教师\家教（可应届实习）,掌门1对1,"[12.0, 18.0, 15.0]",哈尔滨,民营公司,10000人以上,"['教育', '培训', '院校']","['五险一金', '专业培训', '绩效奖金', '居家办公', '线上授课', '假期福利']","""本科""",12.0,18.0,15.0
工程师助理,哈尔滨谦发科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,民营公司,50-150人,"['通信', '电信', '网络设备']","['五险一金', '通讯补贴', '交通补贴', '年终奖金', '绩效奖金']","""大专""",5.0,7.0,6.0
财务总监,中科优术（黑龙江）科技产业有限公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,50-150人,"['制药', '生物工程']","['免费班车', '员工旅游', '专业培训', '免费午餐', '节日福利', '五险社保']","""本科""",7.0,10.0,8.5
5G通信储备专员,哈尔滨连朗电子科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,50-150人,"['通信', '电信', '网络设备']",[''],"""大专""",5.0,7.0,6.0
行政文员,黑龙江天视电子科技有限公司,"[5.0, 7.0, 6.0]",哈尔滨-香坊区,民营公司,50-150人,['计算机硬件'],[''],"""大专""",5.0,7.0,6.0
销售总监储备分公司总经理,四川甜颜蜜女企业管理有限公司,"[12.0, 60.0, 36.0]",异地招聘,民营公司,150-500人,"['美容', '保健']",[''],"""大专""",12.0,60.0,36.0
美团在线客服,哈尔滨银楷科技发展有限公司,"[4.0, 5.0, 4.5]",哈尔滨-南岗区,民营公司,500-1000人,"['通信', '电信', '网络设备']",[''],"""大专""",4.0,5.0,4.5
实习生（住宿+带薪培训+奖金）,黑龙江省利末记互联网科技有限公司,"[5.0, 8.0, 6.5]",哈尔滨-南岗区,民营公司,50-150人,"['批发', '零售']","['五险一金', '员工旅游', '出国机会', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '提供住宿', '定期团建']","""大专""",5.0,8.0,6.5
库工,哈尔滨北方食品原料有限公司,"[3.0, 3.0, 3.0]",哈尔滨-松北区,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],"['专业培训', '五险一金', '餐饮补贴', '年终奖金', '出国机会']","""初中及以下""",3.0,3.0,3.0
销售内勤,哈尔滨索菲亚可可食品有限公司,"[4.0, 4.0, 4.0]",哈尔滨,民营公司,50-150人,['快速消费品(食品、饮料、化妆品)'],[''],"""大专""",4.0,4.0,4.0
高中各科教师,长水教育集团-云南衡水实验中学,"[12.0, 18.0, 15.0]",哈尔滨,民营公司,,"['教育', '培训', '院校']",[''],"""本科""",12.0,18.0,15.0
2021届校园招聘国际贸易类储训生,江苏新日电动车股份有限公司,"[10.0, 12.0, 11.0]",哈尔滨,上市公司,,['汽车'],[''],"""本科""",10.0,12.0,11.0
知识产权主管助理（哈尔滨）,第五届“太湖知英”知识产权线上专场人才对接会,"[7.0, 10.0, 8.5]",哈尔滨,国企,,"['学术', '科研']",[''],"""本科""",7.0,10.0,8.5
机械技术员（工作地点：西安）（哈尔滨）,西安西电光电缆有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨,国企,,"['机械', '设备', '重工']",[''],"""本科""",5.0,7.0,6.0
研发工程师（工作地点—西安）,西安高压电器研究院有限责任公司,"[12.0, 18.0, 15.0]",哈尔滨,国企,,"['机械', '设备', '重工']",[''],"""硕士""",12.0,18.0,15.0
智造研发工程师（工作地点：西安市）（哈尔滨）,西安西电避雷器有限责任公司,"[5.0, 7.0, 6.0]",哈尔滨,国企,,"['机械', '设备', '重工']",[''],"""本科""",5.0,7.0,6.0
仪表工程师（哈尔滨）,中国轻工业南宁设计工程有限公司,"[7.0, 10.0, 8.5]",哈尔滨,国企,,"['建筑', '建材', '工程']",[''],"""本科""",7.0,10.0,8.5
销售代表（哈尔滨）,美康生物科技股份有限公司,"[7.0, 10.0, 8.5]",哈尔滨,上市公司,,"['制药', '生物工程']",[''],"""大专""",7.0,10.0,8.5
人力资源专员（哈尔滨）,亚太卫星宽带通信（深圳）有限公司,"[12.0, 18.0, 15.0]",哈尔滨,国企,,"['通信', '电信运营、增值服务']",[''],"""硕士""",12.0,18.0,15.0
管理培训生,中国太平洋财产保险股份有限公司无锡分公司,"[7.0, 10.0, 8.5]",哈尔滨,民营公司,,['保险'],[''],"""本科""",7.0,10.0,8.5
高薪物料员（哈尔滨）,武汉市兴天宇纸塑制品有限公司,"[5.0, 7.0, 6.0]",哈尔滨,民营公司,,"['印刷', '包装', '造纸']",[''],[''],5.0,7.0,6.0
招聘专员,哈尔滨玖影科技有限公司,"[3.0, 5.0, 4.0]",哈尔滨-南岗区,民营公司,50-150人,['计算机软件'],[''],"""大专""",3.0,5.0,4.0
课程顾问,尚霖（国际）体育产业集团,"[7.0, 10.0, 8.5]",哈尔滨-南岗区,民营公司,150-500人,"['娱乐', '休闲', '体育']","['带薪年假', '五险一金', '绩效奖金', '节日福利', '专业培训', '弹性工作']","""无需经验""",7.0,10.0,8.5
饭圈运营（哈尔滨）,无线生活（北京）信息技术有限公司,"[12.0, 18.0, 15.0]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""本科""",12.0,18.0,15.0
成本管培生（哈尔滨）,天润置地集团有限公司,"[12.0, 18.0, 15.0]",哈尔滨,民营公司,,['多元化业务集团公司'],[''],"""本科""",12.0,18.0,15.0
电子电路电气工程师,哈尔滨工程大学,"[5.0, 7.0, 6.0]",哈尔滨-南岗区,事业单位,50-150人,"['教育', '培训', '院校']","['年终奖金', '五险', '法定节假日', '单休', '年度薪酬调整', '带薪年假', '带薪婚假丧假', '带薪陪产假', '春节探亲假', '专业教授指导']","""本科""",5.0,7.0,6.0
卫星通信系统设计（哈尔滨）,航天行云科技有限公司,"[18.0, 24.0, 21.0]",哈尔滨,政府机关,,"['政府', '公共事业']",[''],"""硕士""",18.0,24.0,21.0
销售培训生,西继迅达电梯有限公司,"[4.0, 5.0, 4.5]",哈尔滨,合资,1000-5000人,"['机械', '设备', '重工']","['五险一金', '员工旅游', '交通补贴', '通讯补贴', '绩效奖金', '年终奖金', '专业培训', '弹性工作', '定期体检', '出国机会']","""本科""",4.0,5.0,4.5
运营助理,黑龙江宇冠企业管理咨询有限公司,"[6.0, 10.0, 8.0]",哈尔滨-南岗区,民营公司,50-150人,"['通信', '电信运营、增值服务']","['绩效奖金', '专业培训', '全勤奖', '包住宿', '弹性工作']","""大专""",6.0,10.0,8.0
业务员免费提供食宿,哈尔滨高仕达商贸有限公司,"[12.0, 18.0, 15.0]",哈尔滨-南岗区,民营公司,50-150人,['办公用品及设备'],[''],"""无需经验""",12.0,18.0,15.0
销售代表,黑龙江亚诺电子科技有限公司,"[5.0, 10.0, 7.5]",哈尔滨-南岗区,民营公司,50-150人,"['通信', '电信运营、增值服务']","['包住宿', '五险一金', '全勤奖', '带薪年假', '节日福利', '弹性工作', '绩效奖金', '专业培训']","""中专""",5.0,10.0,7.5
日语老师,江苏中澜境外就业服务有限公司,"[8.0, 15.0, 11.5]",异地招聘,民营公司,50-150人,['专业服务(咨询、人力资源、财会)'],"['五险一金', '员工旅游', '餐饮补贴', '专业培训', '出国机会', '绩效奖金', '提供住宿']","""本科""",8.0,15.0,11.5
市政项目经理、技术负责、技术员,黑龙江中昊建筑装饰工程有限公司,"[6.0, 14.0, 10.0]",哈尔滨-南岗区,民营公司,150-500人,"['建筑', '建材', '工程']",[''],"""大专""",6.0,14.0,10.0
售后工程师,哈尔滨科汇水处理设备开发有限公司,"[4.0, 5.0, 4.5]",哈尔滨-道里区,民营公司,少于50人,"['机械', '设备', '重工']",[''],"""高中""",4.0,5.0,4.5
区域经理（黑龙江地区）,爱威马（辽宁）汽车销售服务有限责任公司,"[10.0, 12.0, 11.0]",哈尔滨-道里区,民营公司,150-500人,['汽车'],"['包吃', '五险一金', '绩效奖金', '节日福利', '餐饮补贴']","""大专""",10.0,12.0,11.0
充电宝业务部哈尔滨站BD,美团,"[6.0, 12.0, 9.0]",哈尔滨-南岗区,合资,10000人以上,"['互联网', '电子商务']","['周末双休', '带薪年假', '五险一金', '节日福利', '交通补贴', '通讯补贴', '弹性工作']","""大专""",6.0,12.0,9.0
店铺销售人员 哈尔滨枫叶小镇（第三方合同）,普拉达时装商业（上海）有限公司（Prada）,"[7.0, 10.0, 8.5]",哈尔滨,外资（欧美）,500-1000人,"['奢侈品', '收藏品', '工艺品', '珠宝']","['五险一金', '餐饮补贴']","""高中""",7.0,10.0,8.5
