生产车间主任,吉林省莱沃医疗科技有限公司,5-7,长春-九台区,民营公司,150-500人,医疗\护理\卫生,"['五险一金', '免费班车', '员工旅游', '节日福利', '国内旅游']","""大专"""
车间管理储备干部,长春希达电子技术有限公司,5-7,长春,民营公司,500-1000人,电子技术\半导体\集成电路,"['五险一金', '免费班车', '交通补贴', '定期体检', '免费住宿', '餐饮补贴', '带薪年假']","""本科"""
机电工程师（饲料供应部）,吉林大安牧原农牧有限公司,6-12,异地招聘,民营公司,10000人以上,农\林\牧\渔,"['绩效奖金', '交通补助', '弹性工作', '领导好', '扁平管理', '上市公司', '五险一金', '节日礼物', '子女福利', '包吃包住']","""中专"""
电话商务洽谈员,辽宁诺盾科技有限公司吉林省分公司,4-5,长春-南关区,民营公司,1000-5000人,医疗设备\器械,"['做五休二', '周末双休', '带薪年假', '专业培训', '节日福利', '绩效奖金', '加班补贴']","""大专"""
市场经理,吉林和合医学检验有限公司,5-7,长春-宽城区,民营公司,50-150人,检测，认证,"['五险一金', '补充医疗保险', '员工旅游', '餐饮补贴', '绩效奖金', '年终奖金']","""本科"""
货运司机,吉林省八方顺运输有限公司,12-14,长春-二道区,民营公司,50-150人,交通\运输\物流,"['包吃包住', '绩效奖金']","""无需经验"""
软件实施工程师,长春嘉诚信息技术股份有限公司（已上市）,5-7,长春,上市公司,500-1000人,计算机软件,"['五险一金', '免费班车', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检', '员工旅游', '交通补贴']","""本科"""
硬件工程师,吉林省泽森新能源集团有限公司,7-12,长春-南关区,民营公司,少于50人,电气\电力\水利,"['五险一金', '周末双休', '全勤奖', '绩效奖金', '餐饮补贴', '年终奖金']","""大专"""
招生顾问,长春市阳光天童教育咨询有限公司,10-12,长春-高新技术产业开发区,民营公司,5000-10000人,教育\培训\院校,[''],"""大专"""
生产班长,重庆润通工业股份有限公司哈尔滨分公司,5-10,长春-九台区,民营公司,50-150人,汽车,"['免费班车', '专业培训', '五险', '节日福利']","""大专"""
应用系统设计,吉林玲珑轮胎有限公司,5-10,长春-汽车产业开发区,民营公司,1000-5000人,石油\化工\矿产\地质,"['五险一金', '免费班车', '绩效奖金', '餐饮补贴', '通讯补贴', '节日福利']","""大专"""
入库检验员,吉林省方舟电子科技有限公司,2-4,长春-朝阳区,民营公司,50-150人,汽车,"['五险一金', '免费班车', '年终奖金', '周末双休', '包三餐', '全勤奖']","""中专"""
医疗设备区域销售经理,长春市国兴医疗设备有限公司,4-5,长春-南关区,合资,少于50人,医疗设备\器械,"['弹性工作', '绩效奖金', '年终奖金', '员工旅游', '定期体检', '五险']","""大专"""
总经理助理,吉林省心之力健康管理有限公司,7-10,长春-南关区,民营公司,少于50人,多元化业务集团公司,"['绩效奖金', '股票期权']","""本科"""
销售经理,崔氏生物科技（广州）有限公司,5-7,异地招聘,创业公司,少于50人,美容\保健,"['弹性工作', '绩效奖金']","""无需经验"""
运营专员,吉林省融澳科技有限公司,4-5,长春,民营公司,,计算机软件,['弹性工作'],"""无需经验"""
招商运营经理（长春）,盈石企业管理（成都）有限公司,12-24,长春,合资,少于50人,专业服务(咨询、人力资源、财会),"['周末双休', '带薪年假', '五险一金', '绩效奖金', '节日福利', '补充公积金', '员工旅游', '年终奖金']","""本科"""
网络推广专员,普瑞眼科医院集团,5-7,长春,民营公司,1000-5000人,医疗\护理\卫生,"['五险一金', '专业培训', '绩效奖金', '年终奖金', '餐饮补贴']","""大专"""
区域销售经理（吉林）,上海希格玛高技术有限公司,6-8,长春,民营公司,50-150人,医疗设备\器械,"['免费班车', '员工旅游', '专业培训', '定期体检', '做五休二', '带薪年假', '节日福利', '提成奖金', '商业保险', '出勤补贴']","""大专"""
查勘定损,吉林省钧钊法律咨询有限责任公司,7-10,长春-高新技术产业开发区,民营公司,50-150人,法律,['绩效奖金'],"""无需经验"""
Java工程师,用友汽车信息科技（上海）股份有限公司,8-14,长春-南关区,民营公司,1000-5000人,计算机软件,"['五险一金', '补充医疗保险', '交通补贴', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '定期体检']","""本科"""
东盛营业员,吉林省雅丫麻辣哈哈食品有限公司,4-5,长春-二道区,民营公司,50-150人,快速消费品(食品、饮料、化妆品),"['包吃包住', '月薪3-4千', '每月带薪休假', '节假日福利']","""中专"""
物业区域总经理（储备）,领悦物业服务集团有限公司,24-30,异地招聘,民营公司,1000-5000人,物业管理\商业中心,"['五险一金', '绩效奖金']","""大专"""
行政主管,吉林省同心健康管理有限责任公司,6-8,长春-南关区,民营公司,50-150人,医疗\护理\卫生,['绩效奖金'],"""本科"""
无线通信设计人员,吉林吉大通信设计院股份有限公司,5-7,异地招聘,国企,1000-5000人,通信\电信\网络设备,"['五险一金', '专业培训', '通讯补贴', '定期体检']","""本科"""
区域销售经理,烟台艾德康生物科技有限公司,7-10,异地招聘,民营公司,150-500人,医疗设备\器械,"['五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '出国机会', '专业培训', '通讯补贴', '定期体检']","""大专"""
投资顾问,开源证券股份有限公司吉林分公司,7-10,长春-南关区,国企,5000-10000人,金融\投资\证券,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '弹性工作', '定期体检']","""大专"""
销售内勤（文员）,吉林省金泰化玻有限公司,4-5,长春-绿园区,国企,150-500人,石油\化工\矿产\地质,"['五险一金', '弹性工作', '带薪年假', '法定假日', '早八晚五']","""大专"""
搜狗实习生营销顾问,搜狗网络服务中心,4-12,长春-南关区,民营公司,50-150人,计算机软件,"['绩效奖金', '节日福利', '带薪年假', '人才推荐奖', '团建活动', '法定假日', '非法定假日', '国外旅游', '五险']","""大专"""
仪器校准工程师（长春）,东莞市帝恩检测有限公司,5-7,异地招聘,民营公司,150-500人,检测，认证,"['员工旅游', '交通补贴', '专业培训', '绩效奖金', '五险', '周末双休']","""大专"""
财务岗（长春）,安佑生物科技集团股份有限公司,5-7,长春,民营公司,,农\林\牧\渔,[''],"""本科"""
店员,吉林省华硒堂生物科技有限公司,4-5,长春-宽城区,民营公司,少于50人,生活服务,[''],"""中专"""
营业担当,阿尔卑斯（中国）有限公司,6-8,长春-朝阳区,外资（非欧美）,500-1000人,电子技术\半导体\集成电路,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '出国机会', '年终奖金', '定期体检', '补充医疗保险']","""本科"""
销售岗-2021届校招(J11802),上海高顿企业管理咨询有限公司,7-12,异地招聘,民营公司,1000-5000人,专业服务(咨询、人力资源、财会),"['带薪年假', '五险一金', '节日福利', '专业培训', '绩效奖金']","""本科"""
营销特训生（管培生）（长春）,广联达科技股份有限公司,12-18,长春,合资,,互联网\电子商务,[''],"""本科"""
工程管理岗（长春）,广东龙光集团物业管理有限公司深圳分公司,7-10,长春,民营公司,,物业管理\商业中心,[''],"""本科"""
接线员,长春香格里拉大酒店有限公司,4-5,长春-朝阳区,外资（非欧美）,150-500人,酒店\旅游,[''],"""大专"""
实习文员（长春）,安费诺金事达电子系统（白城）有限公司,4-5,长春,外资（欧美）,,汽车零配件,[''],"""本科"""
数据库运维工程师（长春）,云和恩墨（北京）信息技术有限公司,7-10,长春,民营公司,,计算机服务(系统、数据服务、维修),[''],"""本科"""
医疗部销售代表,波洱化工贸易（上海）有限公司,7-10,长春-朝阳区,外资（欧美）,50-150人,贸易\进出口,['高温补贴'],"""大专"""
生产主管,上海福尔欣线缆有限公司,6-10,长春-经济技术开发区,民营公司,150-500人,汽车,"['带薪年假', '五险一金', '免费班车', '全勤奖', '节日福利', '包吃', '高温补贴']","""大专"""
设备工程师,长春长光圆辰微电子技术有限公司,5-7,长春-经济技术开发区,国企,50-150人,电子技术\半导体\集成电路,"['五险一金', '餐饮补贴', '定期体检', '节日福利', '生日福利', '带薪假期', '绩效奖金', '年终奖金', '采暖补贴', '工龄工资']","""本科"""
实习生（有留用机会）,上海邦盟成套电气有限公司,2-5,长春-经济技术开发区,合资,50-150人,检测，认证,"['五险一金', '免费班车', '绩效奖金', '做五休二', '周末双休', '节日福利']","""中专"""
K12教育行业前端销售,上海轻轻信息科技有限公司,11-14,长春-朝阳区,民营公司,1000-5000人,教育\培训\院校,"['五险一金', '绩效奖金', '员工旅游', '弹性工作']","""大专"""
热成型模具工程师,长春华翔轿车消声器有限责任公司,10-14,长春-朝阳区,民营公司,1000-5000人,汽车,"['五险一金', '免费班车', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检']","""本科"""
维修技师,深圳市好家庭实业有限公司,4-6,长春-南关区,民营公司,500-1000人,娱乐\休闲\体育,"['绩效奖金', '年终奖金', '五险一金', '专业培训']","""中专"""
医疗软件实施工程师,吉林省博思金财科技有限公司,5-7,长春-南关区,上市公司,1000-5000人,计算机软件,"['五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金']","""本科"""
销售代表（长春）,盈可泰（北京）农业技术有限公司,12-18,长春,民营公司,,多元化业务集团公司,[''],"""本科"""
2020届教师管培生（长春）,北京市海淀区精华培训学校,10-12,长春,民营公司,,教育\培训\院校,[''],"""本科"""
国际项目招生总监,上海慧悦管理咨询有限公司,10-18,异地招聘,民营公司,少于50人,教育\培训\院校,[''],"""大专"""
销售主管（生物）-长春,北京西美杰科技有限公司,10-30,长春,民营公司,50-150人,制药\生物工程,"['五险一金', '餐饮补贴', '定期体检', '通讯补贴', '专业培训', '员工旅游', '交通补贴', '绩效奖金', '年终奖金']","""本科"""
招商经理,江苏九旭药业有限公司,6-17,异地招聘,民营公司,500-1000人,制药\生物工程,"['五险一金', '员工旅游', '餐饮补贴', '定期体检', '年终奖金']","""大专"""
幕墙项目经理,深圳鸿图建工有限公司,20-30,长春-南关区,民营公司,150-500人,建筑\建材\工程,"['带薪年假', '五险一金', '包住宿', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '高温补贴', '员工旅游', '定期体检']","""大专"""
货运司机,吉林省玩立方动漫文化发展有限公司,4-6,长春,民营公司,50-150人,快速消费品(食品、饮料、化妆品),"['员工旅游', '餐饮补贴', '绩效奖金']","""1年经验"""
质量验收员,吉林省薪侨药业有限公司,2-4,长春-南关区,民营公司,50-150人,批发\零售,"['员工旅游', '供午餐']","""大专"""
